koi_period,koi_duration,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,label
1.636689474,1.353,11.55,2560,5234,3.436,3.739,1
0.616387954,0.8228,2.9,3451,5667,3.625,3.049,1
0.895725159,0.839,1.53,1786,5897,4.56,0.834,1
2.20921951,2.73,0.88,1507,5991,4.375,1.092,1
0.519438611,2.1631,40.61,2403,6177,4.462,1.011,1
1.338080913,1.511,0.67,2225,6331,4.086,1.536,1
1.28500546,2.691,0.84,2252,6061,4.01,1.653,1
0.866345203,2.0295,1.3,2164,6241,4.366,1.131,1
0.885128122,3.499,1.67,1808,5792,4.521,0.886,1
0.876308177,1.604,83.68,1912,6032,4.508,0.929,1
0.876305037,1.0782,1.17,1912,6032,4.508,0.929,1
0.56679489,4.248,0.71,2252,5642,4.337,1.056,1
0.71059239,4.92,3.92,3318,7454,4.107,1.853,1
2.27163926,4.043,1.05,1563,6276,4.385,1.106,1
1.75254087,4.098,1.41,2423,6660,3.894,2.074,1
0.505112372,0.4457,1.34,1892,5275,4.59,0.787,1
0.973162394,0.9156,1.29,1934,6108,4.466,1.03,1
1.33257551,6.18,14.1,1680,6039,4.493,0.951,1
0.683684256,0.9993,1.39,1612,5017,4.593,0.753,1
1.33257858,2.204,2.21,3110,6858,3.731,3.096,1
2.21701025,2.148,1.16,2371,7524,4.067,2.092,1
1.68208098,1.652,0.99,1982,6495,4.191,1.311,1
1.54038081,2.189,0.84,1582,5812,4.408,0.914,1
2.29792825,2.923,0.97,1524,6363,4.444,1.035,1
0.63110558,0.9029,0.66,1943,5400,4.443,0.898,1
0.639380626,1.2452,59.28,2751,6614,4.248,1.387,1
0.58945858,0.8629,1.07,1845,5286,4.517,0.776,1
0.566810349,3.684,0.59,1977,5776,4.596,0.759,1
2.21030693,2.531,1.13,1602,6343,4.375,1.115,1
0.584151088,1.622,0.62,2132,5427,4.347,1.031,1
1.02087755,2.483,0.69,1905,5750,4.337,1.106,1
1.157808265,3.279,1.2,2133,5412,3.941,1.629,1
0.566800743,5.647,0.55,2600,6484,4.377,1.173,1
0.705458827,2.506,0.64,1697,5374,4.607,0.748,1
1.089056842,2.592,0.76,1512,5087,4.463,0.881,1
1.48921922,1.78,2.9,1593,5780,4.438,1,1
0.741767939,0.2667,55.97,2130,6163,4.461,1.013,1
0.93378768,4.19,1.01,1939,6056,4.448,0.975,1
0.909317776,2.3046,0.78,2184,6513,4.403,1.104,1
0.566803615,2.032,1.41,2350,6106,4.405,0.982,1
1.5184299,3.414,2.34,1927,6302,4.259,1.269,1
2.787885,20.48,0.66,2286,7523,3.986,2.206,1
0.933750893,4.93,0.72,2143,5571,4.111,1.361,1
1.50179241,3.403,0.91,1618,5964,4.471,0.987,1
2.48881555,3.646,1.11,1511,6263,4.405,1.154,1
1.098445288,1.355,0.87,2188,6404,4.24,1.248,1
0.705447163,1.893,1.1,1959,5838,4.529,0.897,1
0.981402951,0.59,1.18,1821,6038,4.524,0.898,1
